Number,,Date,,Company Name,,Position,,Status,,JOB Link
,,,,,,,,,,
,,,,,,,,,,
1,,20.01.2026,,PSG ,,AI Lead,,Applied,,https://www.seek.com.au/Professional-Search-Group-jobs/at-this-company?jobId=89498019&type=standard
,,,,,,,,,,
2,,20.01.2026,,P&N bank,,Data Scientists ,,Rejected,,https://www.seek.com.au/job/89639843?ref=recom-homepage&pos=14&origin=showNewTab#sol=803d79554327b520cc7daaa3f57d738c59499f4d
,,,,,,,,,,
3,,21.01.2026,,PLS,,Application & Data Integration Analyst,,Applied,,https://www.seek.com.au/job/89824091
,,,,,,,,,,
4,,21.01.2026,,M&T resources,,Application Support Analyst,,Applied,,https://www.mtr.com.au/jobs/application-support-analyst-finance-system/
,,,,,,,,,,
5,,21.01.2026,,Department of Water and Environmental Regulation,,Data Engineer,,Applied,,https://search.jobs.wa.gov.au/page.php?pageID=160&windowUID=0&AdvertID=397748
,,,,,,,,,,
6,,21.01.2026,,Lookout Way,,Software engineer ,,Applied,,https://www.seek.com.au/job/89608540?ref=recom-homepage&pos=6&origin=showNewTab#sol=18d30b8ad574c12c5593f58dbe37f224a9e2827c
,,,,,,,,,,
7,,22.01.2026,,Brunel,,AI Engineer,,Applied,,https://www.brunel.net/en-au/jobs/ai-and-data-science-specialist-cr-275165
,,,,,,,,,,
8,,22.01.2026,,Fugro,,Software Engineer,,Applied,,https://www.fugro.com/careers/jobs/R0029741-software-engineer
,,,,,,,,,,
9,,22.01.2026,,PSG,,AI,,Applied,,
,,,,,,,,,,
10,,22.01.2026,,PSG,,FullStack Engineer,,Applied,,https://professionalsearchgroup.vincere.io/careers/job/54854/full-stack-engineer/perth
,,,,,,,,,,
11,,22.01.2026,,SpacetoCo Pty Ltd,,Backend Engineer,,Rejected,,https://www.seek.com.au/job/89830900?ref=saved
,,,,,,,,,,
12,,22.01.2026,,Correlate Resources,,ML Engineer,,Applied,,https://correlateresources.com/job-page-machine-learning-july
,,,,,,,,,,
13,,22.01.2026,,Health Engine,,AI Software Engineer,,Applied,,https://jobs.smartrecruiters.com/HEALTHENGINE1/744000104209004-ai-software-engineer?seek-token=QNXdnEm8a9yDL6Lvf77F48
,,,,,,,,,,
14,,24.01.2026,,Coursebox,,Backend Engineer,,Applied,,https://www.seek.com.au/Coursebox-Pty-Ltd-jobs/at-this-company?jobId=89799001&type=standard
,,,,,,,,,,
15,,24.01.2026,,Pair People Pty Limited,,Senior Software Engineer,,Applied,,https://www.seek.com.au/Pair-People-Pty-Limited-jobs/at-this-company?jobId=89568613&type=standard
,,,,,,,,,,
16,,24.01.2026,,Illuminance Solutions,,Developer Programmer,,Interview,,https://www.illuminancesolutions.com.au/job-opportunities/?gh_jid=4000315201
,,,,,,,,,,
17,,24.01.2026,,valrose,,Software Engineer,,Applied,,https://valrose.com.au/perth-tech-jobs
,,,,,,,,,,
18,,25.01.2026,,Yunyfi Pty Ltd,,Solution Implementation Specialist,,Applied,,https://www.seek.com.au/job/89711696?ref=cp-recs&type=standard&origin=competitiveRecommendedJobs&pos=3#sol=5432ae410b76e8185cc4905d9e87e4bb7ca5d196
,,,,,,,,,,
